s_no,date,created_at,id_str,screen_name,user_location,geo-tagged_place,tweet_text,tweet_tokenized,tweet_cleaned,tweet_filtered,tweet_lemmatized,tweet_mentioned_organizations,tweet_tags_classified,tweet_orgs_classified,retweet_count,fav_count,hashtags,urls,mentions,vader_polarity
2,2021-02-15,Mon Feb 15 23:51:04 +0000 2021,1361463066030977025,BlockchainRahul,"Liverpool, UK",Not Geo-tagged,b'@hash_hash_info @paulmadsen @cooper_kunz So every token would have it\xe2\x80\x99s own private key? That is a very interesting idea!',$MENTION$ $MENTION$ $MENTION$ So every token would have its own private key? That is a very interesting idea!,So every token would have it s own private key? That is a very interesting idea!,so every token would private key that interesting idea,so every token would private key that interesting idea,[],{},{},0,1,[],,"['Nik S (#-#.info)', ""Paul 'opinions are my own' Madsen"", 'Cooper']",0.5081
3,2021-02-15,Mon Feb 15 23:38:56 +0000 2021,1361460014217584642,nic__carter,Isle of Yap,Not Geo-tagged,"b""@LukeDashjr @wtogami true. but it's nice to have the command built into the node. plus, in some other cases, gettxoutsetinfo does reveal info the node has failed to catch. see eg: \n\nhttps://t.co/Q3rcNnhnH7""","$MENTION$ $MENTION$ true. but it's nice to have the command built into the node. plus, in some other cases, gettxoutsetinfo does reveal info the node has failed to catch. see eg: $URL$","true. but it's nice to have the command built into the node. plus, in some other cases, gettxoutsetinfo does reveal info the node has failed to catch. see eg",true nice command built node plus cases gettxoutsetinfo reveal info node failed catch see,true nice command build node plus case gettxoutsetinfo reveal info node fail catch see,[],{},{},0,5,[],https://coinmetrics.io/bitcoin-private/,"['Luke Dashjr', 'Warren Togami']",0.0387
4,2021-02-15,Mon Feb 15 23:37:33 +0000 2021,1361459665436049413,mkmphoto,"Columbus, OH more or less",Not Geo-tagged,"b'@WDBJ7 Doesn\'t look like a VDOT approved memorial to me.  I\'m sure if it had been for a private citizen the response would have been ""oh well shouldn\'t have been there in the first place""\nhttps://t.co/8GXP5fLm5L'","$MENTION$ Doesn't look like a VDOT approved memorial to me. I'm sure if it had been for a private citizen the response would have been ""oh well shouldn't have been there in the first place"" $URL$","Does not look like a VDOT approved memorial to me. I'm sure if it had been for a private citizen the response would have been ""oh well should not have been there in the first place""",does look like vdot approved memorial sure private citizen response would well first place,do look like vdot approve memorial sure private citizen response would well first place,[],{},{},0,0,[],https://www.virginiadot.org/info/roadside_memorial_signs.asp,['WDBJ7'],0.6237
20,2021-02-15,Mon Feb 15 22:50:42 +0000 2021,1361447873502531588,pizzahut,United States,Not Geo-tagged,"b""@MissingLink5_ Hi there, that's definitely not the experience we want for you. Would you mind sending us a private message with your contact info and the store's address so we can look into this? https://t.co/PQtSXiQxeo""","$MENTION$ Hi there, that's definitely not the experience we want for you. Would you mind sending us a private message with your contact info and the store's address so we can look into this? $URL$","Hi there, that's definitely not the experience we want for you. Would you mind sending us a private message with your contact info and the store's address so we can look into this?",hi definitely experience want would mind sending private message contact info store address look,hi definitely experience want would mind send private message contact info store address look,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=11018442,['TheMissingLink5'],0.4588
11,2021-02-15,Mon Feb 15 23:10:20 +0000 2021,1361452816498380802,hash_hash_info,"London, England",Not Geo-tagged,"b""@BlockchainRahul @paulmadsen @cooper_kunz maybe no transfer or zk needed if there's a protocol that allows you to get hold of a private key of the token and end up being the sole key holder.""",$MENTION$ $MENTION$ $MENTION$ maybe no transfer or zk needed if there's a protocol that allows you to get hold of a private key of the token and end up being the sole key holder.,maybe no transfer or zk needed if there's a protocol that allows you to get hold of a private key of the token and end up being the sole key holder.,maybe transfer zk needed protocol allows get hold private key token end sole key holder,maybe transfer zk need protocol allow get hold private key token end sole key holder,[],{},{},0,1,[],,"['Rahul Kothari', ""Paul 'opinions are my own' Madsen"", 'Cooper']",-0.296
8,2021-02-15,Mon Feb 15 23:23:14 +0000 2021,1361456062289838082,DJWYLDLYFE,"Ny,OH, ","Cartagena, Colombia, CO","b'Attention \xe2\x9a\xa0\xef\xb8\x8f April 8th we rocking out in Cartagena Colombia \xf0\x9f\x87\xa8\xf0\x9f\x87\xb4 DM me for Info book Your flights \xf0\x9f\x9b\xab @colores_events \xf0\x9f\x8d\xb9PRIVATE ISLAND VIBES\xf0\x9f\x8f\x96 @ Cartagena, Colombia https://t.co/2OcVwor2LH'","Attention $EMOJI$ April $NUMBER$th we rocking out in Cartagena Colombia DM me for Info book Your flights $EMOJI$ $MENTION$ $EMOJI$PRIVATE ISLAND VIBES$EMOJI$ $MENTION$ Cartagena, Colombia $URL$","Attention April th we rocking out in Cartagena Colombia DM me for Info book Your flights PRIVATE ISLAND VIBES Cartagena, Colombia",attention april rocking cartagena colombia dm info book your flights private island vibes cartagena colombia,attention april rock cartagena colombia dm info book flight private island vibes cartagena colombia,[],{},{},0,0,[],https://www.instagram.com/p/CLVMBHwDRyz/?igshid=ymjh24wadb1a,[],0.0
32,2021-02-15,Mon Feb 15 22:16:01 +0000 2021,1361439147315978240,AyemTweetsSigns,"WestSide, Los Angeles, Ca 🍀",Not Geo-tagged,b'Lowkey I think nardwaur was a private investigator they break the law for info',Lowkey I think nardwaur was a private investigator they break the law for info,Lowkey I think nardwaur was a private investigator they break the law for info,lowkey think nardwaur private investigator break law info,lowkey think nardwaur private investigator break law info,[],{},{},0,0,[],,[],0.0
1,2021-02-15,Mon Feb 15 23:56:32 +0000 2021,1361464443159408642,yourcompanionAI,,Not Geo-tagged,"b""@TailwindsSys here's where i got the version i'm using! https://t.co/PLAKkLCNEP\nmake sure to exclude it from your AV, not because it'll be detected, but after a lot of changes your computer will think it's a new file and whisk it away to cloud services which might be bad for private info""","$MENTION$ here's where i got the version i'm using! $URL$ make sure to exclude it from your AV, not because it'll be detected, but after a lot of changes your computer will think it's a new file and whisk it away to cloud services which might be bad for private info","here's where i got the version i'm using! make sure to exclude it from your AV, not because it'll be detected, but after a lot of changes your computer will think it's a new file and whisk it away to cloud services which might be bad for private info",got version using make sure exclude av detected lot changes computer think new file whisk away cloud services might bad private info,get version use make sure exclude av detected lot change computer think new file whisk away cloud service may bad private info,[],{},{},0,0,[],https://ihm4u.github.io/twexe/,['windy (💜Nadia/💙Jess)'],-0.7043
6,2021-02-15,Mon Feb 15 23:30:00 +0000 2021,1361457764917149698,TriviaAD,"Bergen County, NJ",Not Geo-tagged,"b'Contact info [at] https://t.co/fXpcVd7L2K for more details on how #Trivia, AD can host your next corporate or private virtual event! #ZoomMeeting #ZoomHappyHour #VirtualTrivia https://t.co/i6MRuNSU3u'","Contact info [at] $URL$ for more details on how $HASHTAG$, AD can host your next corporate or private virtual event! $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$","Contact info [at] for more details on how , AD can host your next corporate or private virtual event!",contact info details ad host next corporate private virtual event,contact info detail ad host next corporate private virtual event,[],{},{},0,0,"['Trivia', 'ZoomMeeting', 'ZoomHappyHour', 'VirtualTrivia']",http://triviaad.com,[],0.0
21,2021-02-15,Mon Feb 15 22:50:15 +0000 2021,1361447762647257091,EvaMay_CRM,"Research Triangle, NC",Not Geo-tagged,"b'Register today: https://t.co/OAzBB1SNRT 3 days full of info, strategies &amp; best practice recos from community, government, advocacy and private sector leaders passionate about getting EVERYBODY vaccinated efficiently, effectively &amp; equitably #communityimmunity @CDCgov #covid19 https://t.co/0xxJFXwdkp'","Register today: $URL$ $NUMBER$ days full of info, strategies &amp; best practice recos from community, government, advocacy and private sector leaders passionate about getting EVERYBODY vaccinated efficiently, effectively &amp; equitably $HASHTAG$ $MENTION$ $HASHTAG$ $URL$","Register today days full of info, strategies &amp; best practice recos from community, government, advocacy and private sector leaders passionate about getting EVERYBODY vaccinated efficiently, effectively &amp; equitably",register today days full info strategies best practice recos community government advocacy private sector leaders passionate getting everybody vaccinated efficiently effectively equitably,register today day full info strategy good practice reco community government advocacy private sector leader passionate get everybody vaccinate efficiently effectively equitably,[],{},{},0,0,"['communityimmunity', 'covid19']","http://bit.ly/3a2gByy, https://twitter.com/CDCgov/status/1360257691206172680",['CDC'],0.9217
22,2021-02-15,Mon Feb 15 22:47:31 +0000 2021,1361447074764529664,pizzahut,United States,Not Geo-tagged,"b""@z674 Oh no! Would you mind sending us a private message with your contact info and the store's address so we can make this right? https://t.co/PQtSXiQxeo""",$MENTION$ Oh no! Would you mind sending us a private message with your contact info and the store's address so we can make this right? $URL$,Oh no! Would you mind sending us a private message with your contact info and the store's address so we can make this right?,oh would mind sending private message contact info store address make right,oh would mind send private message contact info store address make right,[],{},{},0,0,[],https://twitter.com/messages/compose?recipient_id=11018442,['Lesli the Librarian'],0.0
23,2021-02-15,Mon Feb 15 22:47:06 +0000 2021,1361446969466441728,_vandul,,Not Geo-tagged,b'Friday 2/19 $299.99 \xf0\x9f\x93\xa6 dropping the last five boxes from the private collection. Just the boxes. Nothing else is being sold. Only boxes. Subscribe to my email list for more info \xf0\x9f\x99\x8f https://t.co/f0RqE3ytrN',Friday $NUMBER$/19 $299.99 $EMOJI$ dropping the last five boxes from the private collection. Just the boxes. Nothing else is being sold. Only boxes. Subscribe to my email list for more info $EMOJI$ $URL$,Friday /19 $299.99 dropping the last five boxes from the private collection. Just the boxes. Nothing else is being sold. Only boxes. Subscribe to my email list for more info,friday dropping last five boxes private collection just boxes nothing else sold only boxes subscribe email list info,friday drop last five box private collection just box nothing else sell only box subscribe email list info,[],{},{},0,1,[],,[],0.0
27,2021-02-15,Mon Feb 15 22:32:46 +0000 2021,1361443361123631104,CBIZNewEngland,Massachusetts and Rhode Island,Not Geo-tagged,b'Assess Today\xe2\x80\x99s Risks So They Don\xe2\x80\x99t Become Tomorrow\xe2\x80\x99s Problems: https://t.co/fiANZuwUIu #portfoliocompanies #revrec #revenuerecognition',Assess Todays Risks So They Dont Become Tomorrows Problems: $URL$ $HASHTAG$ $HASHTAG$ $HASHTAG$,Assess Today s Risks So They Don t Become Tomorrow s Problems,assess today risks so they don become tomorrow problems,assess today risk so don become tomorrow problem,[],{},{},0,1,"['portfoliocompanies', 'revrec', 'revenuerecognition']",https://hubs.ly/H0GFb5c0,[],-0.5859
