term,rank
release private info,854.9670994401278
malicious comment content,848.3579815261833
please take immediate,848.3579815261833
private info nct,848.3579815261833
action malicious comment,848.3579815261833
account release private,848.2587859662781
take immediate action,848.2040073687051
comment content yuta,848.2040073687051
info nct live,848.2040073687051
take action malicious,848.108670931628
demand take action,848.108670931628
help protect idol,848.0513093705192
nct live please,848.0307306379807
immediate action help,848.0307306379807
live please take,848.0307306379807
action help protect,848.0307306379807
yuta account release,848.0307306379807
content yuta account,848.0307306379807
st lt private,88.97775645920906
include exclude expo,77.85422429854415
expo st lt,77.6361031413285
exclude expo st,77.6361031413285
leak private info,73.22325914724762
share private info,70.13917488557296
send private message,63.25542524297699
lt private wajib,46.18451071956456
private wajib dp,46.18451071956456
hot angel base,45.42020527702247
keep info private,45.33185154218123
give private info,43.71373070875513
private info like,38.18112702886535
open bo include,37.65562550188386
bo include exclude,37.65562550188386
lt private info,36.07641315173118
post private info,35.89052863021254
reveal private info,35.68762445118509
open bo massage,34.5947343109817
massage include exclude,34.5947343109817
bo massage include,34.5947343109817
get private info,30.570553479131945
sell private info,29.96853106154695
private message info,29.942840267765014
private info could,29.47590746978767
contain private info,27.972652436704955
wajib dp info,26.994084100020327
wajib dp cod,26.127144911522237
private medical info,25.86596707241207
hot angel open,25.572102775900756
angel open bo,25.572102775900756
without reveal private,24.610417704478618
please send private,24.522131558602585
people private info,22.7137127596994
private info wa,22.462633419201357
salatiga open bo,22.462633419201357
base salatiga open,22.462633419201357
angel base salatiga,22.462633419201357
private info leak,22.42676639666808
bo vcs include,21.53582670418915
vcs include exclude,21.53582670418915
private message contact,21.2549191111563
open bo vcs,20.89495039151695
message contact info,20.39041392072321
recommend delete tweet,20.28118842915008
info rr dm,20.14173375314963
access private info,20.084580995957566
spread private info,19.80918647010172
personal private info,19.212388043445582
info private group,18.77619677206546
mind send private,18.703193548763917
info private message,18.27081403758875
someone private info,18.260960692831738
private info get,18.228148301162694
google search result,18.054705610566437
private info dm,18.00397728554067
angel base bali,17.783905553477183
base bali open,17.783905553477183
dp info dm,17.783905553477183
bali open bo,17.783905553477183
private personal info,17.580695984801878
profile info private,16.92486218484446
include exclude private,16.887596615813784
private health info,16.839193186950464
ask private info,16.80647789286826
put private info,16.745869847529427
please private message,16.320267796433598
cod info dm,16.269011043185934
milf open bo,16.269011043185934
dp cod info,16.269011043185934
hot milf open,16.269011043185934
private tasting home,16.262695057294337
host private tasting,16.262695057294337
home make easy,16.262695057294337
tasting home make,16.262695057294337
expose private info,16.123697723196578
could let know,16.112763220788406
group google search,16.100810445440654
private group google,16.100810445440654
private info share,15.989171977352177
info could let,15.855363607786572
info dm wa,15.792878095331796
want private info,15.742309802859431
include exclude st,15.713075104625462
exclude st lt,15.713075104625462
search result right,15.694831589189384
private info public,15.457122277292463
whatsapp profile info,14.721591725497762
cod bayar tempat,14.498459160877422
angel base palembang,14.498459160877422
tempat info dm,14.498459160877422
lt private cod,14.498459160877422
private cod bayar,14.498459160877422
bayar tempat info,14.498459160877422
delete post contain,14.38687417995034
tweet contain private,14.039145934523324
post contain info,13.78518481908875
private info twitter,13.756361396832057
exclude private info,13.675720034197427
encourage user provide,13.670507913477726
provide account information,13.670507913477726
user provide account,13.670507913477726
know private info,13.642985679121335
free private parking,13.409822392062802
please delete post,13.26033784342504
privacy encourage user,13.107926660738054
protect privacy encourage,13.107926660738054
prioritas wajib dp,13.101894109560309
bogor include exclude,13.101894109560309
bo base bogor,13.101894109560309
open bo base,13.101894109560309
private prioritas wajib,13.101894109560309
base bogor include,13.101894109560309
lt private prioritas,13.101894109560309
steal private info,13.044511690028957
order protect privacy,12.911603486406856
bbw hot open,12.893994509053064
dp cod juga,12.893994509053064
juga bisa info,12.893994509053064
bisa info dm,12.893994509053064
hot open bo,12.893994509053064
cod juga bisa,12.893994509053064
contact info store,12.867322731227002
info store address,12.867322731227002
much private info,12.738489300454754
english course elementary,12.727922061357848
elementary junior high,12.727922061357848
high school info,12.727922061357848
school info speak,12.727922061357848
junior high school,12.727922061357848
course elementary junior,12.727922061357848
info speak pronunciation,12.727922061357848
private english course,12.727922061357848
credit check available,12.666666666666671
registration text info,12.666666666666671
owner credit check,12.666666666666671
check available free,12.666666666666671
private owner credit,12.666666666666671
free registration text,12.666666666666671
available free registration,12.666666666666671
home rent private,12.666666666666671
rent private owner,12.666666666666671
private info rr,12.638493940627693
store address look,12.555298816078981
ready bo vcs,12.492447724068658
information social medium,12.328355001411019
send info private,12.297704092421599
private info trump,12.255814427315798
dp info wa,12.22309545284446
base area jabodetabek,12.169880340558297
jabodetabek area jabodetabek,12.169880340558297
bo pasutri include,12.169880340558297
dp base area,12.169880340558297
area jabodetabek area,12.169880340558297
area jabodetabek info,12.169880340558297
jabodetabek info dm,12.169880340558297
open bo pasutri,12.169880340558297
wajib dp base,12.169880340558297
pasutri include exclude,12.169880340558297
info could share,12.03156558534768
account information social,12.029640124224368
query well help,11.721507256159523
private include exclude,11.615974652160999
consider private info,11.603185998008618
delete tweet contain,11.562202341438596
would mind send,11.405330329652504
private info online,11.244179661184585
number contact info,11.240884498133218
public private partnership,11.17628578861369
private info also,11.068145941693441
publish private info,11.036647519490915
social medium please,10.923310316699792
private info people,10.902106926536907
vip info bet,10.79545735362295
use private info,10.785424731946597
collect private info,10.709353380984656
medium please delete,10.683642651930107
personal info private,10.570648133886557
account info private,10.458604611646233
private info make,10.433770025244941
spread false info,10.429042413798692
private message account,10.41767928901606
open private include,10.227527573653855
